segment_id,lat,lon,highway,length,cluster_espacial,jam_mean
0,-16.5175707,-68.0515919,residential,93.35659504612812,0,0.0
1,-16.5339062,-68.1295466,residential,260.907869566362,0,0.0
2,-16.51865335,-68.0564599,residential,49.95019170071194,0,0.0
3,-16.4903658,-68.1049524,residential,43.156480715357816,0,0.0
4,-16.54854515,-68.0962703,residential,103.88753602810696,0,0.0
5,-16.51939745,-68.12609505,residential,74.8702936995979,0,0.0
6,-16.47490545,-68.11529655,residential,87.25851526312755,0,0.0
7,-16.5346676,-68.1380382,residential,68.69037602020495,0,0.0
8,-16.4926766,-68.115876,residential,44.458125741462005,0,0.0
9,-16.5088347,-68.05505600000001,residential,174.47319723497296,0,0.0
10,-16.4969942,-68.09630179999999,residential,151.14436766716858,0,0.0
11,-16.5078467,-68.11146645,residential,83.11840032098362,0,0.0
12,-16.52250925,-68.10519120000001,residential,24.103695419471343,0,0.0
13,-16.495925999999997,-68.10144405,residential,119.5990851852132,0,0.0
14,-16.53309225,-68.0942856,residential,105.82485388872264,0,0.0
15,-16.4586844,-68.11962754999999,residential,255.62855019068635,0,0.0
16,-16.53172045,-68.07489575,residential,103.52126563313188,0,0.0
17,-16.53792765,-68.07722355,residential,114.1463340829882,0,0.957375
18,-16.545508249999997,-68.08041994999999,residential,66.4706234519058,0,0.0
19,-16.4954009,-68.1122306,residential,225.8570427208107,0,0.0
20,-16.5212723,-68.1084511,residential,39.370456817191126,0,0.0
21,-16.529888800000002,-68.03986805,residential,118.91171738776949,0,0.0
22,-16.5254344,-68.1257091,residential,100.842758580629,0,0.0
23,-16.504881400000002,-68.1345644,residential,31.890845552802297,0,1.0833333333333333
24,-16.5364787,-68.13434695000001,residential,90.3104074513009,0,0.0
25,-16.53359995,-68.0380084,residential,63.59977777647759,0,0.0
26,-16.508846499999997,-68.08270325000001,residential,172.0092141193672,0,0.0
27,-16.5442703,-68.04259915,residential,101.39424890087716,0,0.0
28,-16.514751349999997,-68.12943935,residential,126.79405630979966,0,0.5406527777777775
29,-16.4932625,-68.10340605,residential,87.72336152116156,0,0.0
30,-16.533826,-68.13180265,residential,69.66433027839626,0,0.0
31,-16.47936385,-68.0962409,residential,157.29476782093,0,0.0
32,-16.51586925,-68.11022035,residential,51.5565429030299,0,0.0
33,-16.534353,-68.1022451,residential,96.53692534543116,0,0.0
34,-16.46959765,-68.11315645,residential,251.37100577330688,0,0.0
35,-16.4871324,-68.1069457,residential,246.98282807833155,0,0.0
36,-16.544707449999997,-68.06150695,residential,165.19462198141792,0,0.0
37,-16.457821600000003,-68.16149045,residential,57.58643554225924,0,0.0
38,-16.48433685,-68.1649127,residential,11.103048236826083,0,0.0
39,-16.51017615,-68.114559,residential,40.88888403271002,0,0.0
40,-16.5192064,-68.1358644,residential,129.66154713540092,0,0.0
41,-16.54313805,-68.08409065000001,residential,27.127609449740888,0,0.0
42,-16.46916955,-68.12492035,residential,311.17002357442914,0,0.0
43,-16.5473848,-68.09963400000001,residential,28.676743885683784,0,0.0
44,-16.4995079,-68.12590125,residential,87.59752335983369,0,0.30977777777777776
45,-16.487713749999998,-68.16490475,residential,35.5440283491841,0,0.0
46,-16.440660800000003,-68.1538396,residential,65.3109903816424,0,0.0
