segment_id,umap_x,umap_y
0,20.498533,40.7681
1,19.39871,40.097652
2,20.27202,39.901054
3,19.404005,39.96032
4,19.84647,40.448677
5,19.702614,40.47521
6,20.324316,40.505108
7,19.575087,40.25143
8,19.56123,40.476788
9,20.603481,40.131176
10,19.229548,40.69673
11,19.902054,39.897263
12,19.837801,41.242035
13,19.944536,40.87386
14,19.738235,40.827522
15,19.264013,39.501217
16,19.492863,39.250008
17,22.217756,34.483086
18,18.06368,40.185413
19,19.987207,42.323235
20,20.53907,39.92188
21,20.027422,39.949223
22,18.388708,39.959564
23,22.090797,34.31378
24,18.38856,41.8941
25,19.105469,42.34187
26,18.044655,41.056503
27,19.6488,39.481426
28,22.052557,34.25657
29,20.013115,39.62685
30,18.010412,40.313053
31,20.238195,39.525547
32,18.679369,39.874504
33,19.37746,39.84822
34,20.075178,40.014793
35,18.500488,39.742287
36,18.902395,39.337578
37,20.811605,39.975475
38,19.179632,39.416977
39,19.678564,40.10571
40,20.803965,39.83111
41,19.467937,42.349815
42,19.920914,39.733704
43,19.850014,39.728764
44,21.823755,35.096577
45,20.858965,41.49446
46,18.479107,39.65889
47,18.466862,41.51602
48,19.276186,39.66583
49,18.223259,40.812412
50,19.687738,40.171215
51,18.482555,40.9036
52,18.52672,40.467243
53,21.867235,34.70886
54,19.004438,39.569153
55,22.907822,35.46601
56,22.121544,35.719887
57,19.454653,39.66961
58,19.17804,39.74762
59,20.414085,41.63887
60,18.126856,41.394054
61,20.596914,41.84878
62,22.13228,34.31927
63,18.802166,39.972893
64,18.989264,39.735126
65,18.923128,40.024094
66,20.08932,39.07649
67,18.314045,40.44596
68,19.327648,39.821766
69,18.176062,40.326313
70,20.940533,40.418774
71,18.417912,41.18189
72,22.474842,36.072983
73,20.223505,41.81465
74,19.829052,41.94794
75,18.82074,42.02162
76,22.798033,35.401756
77,19.004713,40.089275
78,18.750124,40.77445
79,18.76569,41.65511
80,19.451134,41.978634
81,20.912867,41.20811
82,18.863743,41.07647
83,18.367565,40.577137
84,18.729725,41.045197
85,18.875742,40.880436
86,18.875193,40.13349
87,19.411867,40.159878
88,19.249865,39.930904
89,18.699347,40.746895
90,20.592674,39.08734
91,18.503036,41.30742
92,22.51845,36.037292
93,19.187122,40.271008
94,19.239285,40.752327
95,22.995611,36.03093
96,18.6299,40.648582
97,19.22275,41.10463
98,22.727762,35.670555
99,19.427935,40.039238
100,22.414917,34.320694
101,18.806952,40.368244
102,18.59805,40.300957
103,20.014482,41.675823
104,18.992163,40.8002
105,19.05579,40.334835
106,19.110464,40.287212
107,18.851692,40.397854
108,18.845018,41.463627
109,19.495914,40.575493
110,19.14808,41.941917
111,20.409481,41.45285
112,19.616764,41.925243
113,18.885422,41.536777
114,21.543312,35.40615
115,19.75987,40.670437
116,19.292755,41.616825
117,19.0259,41.631084
118,19.246155,40.747013
119,19.397682,41.586704
120,19.260933,41.13546
121,22.572561,36.411636
122,20.451443,41.49021
123,19.397799,40.403347
124,19.194653,41.68542
125,19.164423,41.04582
126,20.520082,41.124855
127,22.112759,36.54465
128,19.926783,41.541767
129,19.428804,41.21633
130,19.18465,41.29375
131,19.448101,41.08298
132,20.446718,39.699036
133,22.25684,36.43334
134,19.37132,40.87408
135,19.622086,41.297108
136,19.74923,41.23685
137,20.000643,41.05062
138,20.695044,40.858997
139,23.037586,35.47586
140,19.740187,41.480927
141,18.89398,40.485542
142,20.546507,40.94159
143,19.290886,40.345512
144,20.297514,41.470734
145,19.057444,40.81471
146,19.99014,41.046623
147,19.616905,40.837864
148,20.111162,41.541676
149,20.37049,39.990635
150,22.99133,35.714535
151,20.848904,40.663876
152,19.725958,40.722683
153,19.90617,41.19663
154,19.749052,41.017204
155,20.369564,39.578598
156,20.734552,40.581997
157,20.316889,41.293858
158,20.40563,40.992805
159,20.080776,40.77814
160,20.543934,40.747627
161,20.165377,40.26056
162,20.876186,40.26001
163,19.440714,41.232155
164,19.997849,40.76491
165,19.835155,40.31097
166,20.524305,40.965084
167,20.291151,40.466995
168,20.48295,40.488068
169,20.24055,40.891685
170,20.53816,40.167545
171,20.987047,40.92658
172,19.538021,39.174618
173,20.318111,40.120556
174,20.765364,40.508064
175,20.271177,39.616165
176,20.394068,40.472755
177,22.842638,35.36683
178,19.584478,40.91669
179,20.207308,39.809906
180,20.222328,40.794075
181,20.546581,40.206306
182,22.035845,35.40062
183,20.100433,40.748634
184,19.760063,39.279385
185,20.105846,40.1505
186,21.357988,35.187767
187,21.973425,36.663624
188,19.664347,39.948814
189,21.170403,36.382366
190,21.934399,36.506104
191,21.74405,35.3022
192,21.787195,34.739456
193,21.753078,34.019516
194,22.062698,35.716095
195,22.258556,36.30361
196,22.685186,36.201828
197,20.108736,40.117447
198,21.728403,35.014008
199,21.173632,37.135933
200,20.234474,40.66358
201,21.718925,35.72214
202,19.773716,40.389587
203,21.158014,36.715023
204,22.88201,35.263016
205,21.793724,35.238167
