segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon
42,2864934870,2864934875,-16.4700208,-68.124019,-16.4683183,-68.1258217,residential,311.17002357442914,-16.46916955,-68.12492035
43,5476049682,10606254506,-16.547301,-68.0997345,-16.5474686,-68.0995335,residential,28.676743885683784,-16.5473848,-68.09963400000001
44,565307199,5893599227,-16.4995188,-68.1263119,-16.499497,-68.1254906,residential,87.59752335983369,-16.4995079,-68.12590125
45,1498451144,1498451159,-16.4875565,-68.164934,-16.487871,-68.1648755,residential,35.5440283491841,-16.487713749999998,-68.16490475
46,2861519229,2861519257,-16.4408093,-68.1541033,-16.4405123,-68.1535759,residential,65.3109903816424,-16.440660800000003,-68.1538396
47,2864497062,2864497080,-16.4714224,-68.1126691,-16.4716842,-68.1128056,residential,32.68673261172306,-16.4715533,-68.11273735
48,1498508798,1498508810,-16.4826413,-68.1632534,-16.4829688,-68.1631566,residential,37.90673894454035,-16.48280505,-68.163205
49,1345660836,1345660994,-16.5081021,-68.1084873,-16.5078964,-68.108907,residential,50.25208939571411,-16.507999249999997,-68.10869715
50,1784698349,4349255030,-16.4846173,-68.1140376,-16.4843044,-68.1142355,residential,40.823068676446816,-16.484460849999998,-68.11413655000001
51,5555235057,8973502689,-16.5822305,-68.0786882,-16.5820917,-68.0778062,residential,95.2539897614268,-16.5821611,-68.07824719999999
52,1786102695,1786102730,-16.5328873,-68.1053518,-16.5334595,-68.1062584,residential,167.3951068530191,-16.5331734,-68.1058051
53,1210621786,1210621995,-16.4939419,-68.153077,-16.4934022,-68.1541446,residential,128.67799466516567,-16.49367205,-68.1536108
54,6557811796,6557811797,-16.5033971,-68.0938818,-16.5033311,-68.0936198,residential,28.88090951929449,-16.5033641,-68.09375080000001
55,1497042002,1497042034,-16.501201,-68.1533211,-16.501842,-68.1532419,residential,73.05510177774065,-16.5015215,-68.15328149999999
56,564539584,1784848110,-16.4935465,-68.1267678,-16.494211,-68.1272265,residential,88.61516277263613,-16.49387875,-68.12699715
57,6159093934,6159093935,-16.4454755,-68.1498281,-16.4453921,-68.1501852,residential,39.19616751548547,-16.4454338,-68.15000665
58,6344968022,9253656393,-16.5126744,-68.0712226,-16.5140179,-68.0734076,residential,290.743752936261,-16.51334615,-68.0723151
59,1785317519,1785317547,-16.5261436,-68.140489,-16.526521,-68.140535,residential,42.25055343982303,-16.5263323,-68.140512
60,6557899816,6557899817,-16.5024299,-68.0480145,-16.5027489,-68.0474867,residential,66.51808348530851,-16.502589399999998,-68.0477506
61,2866727098,2866727100,-16.5109413,-68.0702821,-16.5104083,-68.0701153,residential,61.877255970748045,-16.5106748,-68.07019869999999
62,348025217,560232415,-16.496256,-68.1334125,-16.4966742,-68.1326642,residential,92.34512391921358,-16.4964651,-68.13303834999999
63,5054181560,8982974224,-16.4970192,-68.090578,-16.4980531,-68.0928326,residential,292.9732225524957,-16.497536150000002,-68.0917053
64,1332097391,1332230316,-16.5321443,-68.038825,-16.5320126,-68.038569,residential,30.97026545178306,-16.53207845,-68.038697
65,1344175306,1344175313,-16.5067417,-68.1007934,-16.5073557,-68.101362,residential,94.70829407869405,-16.5070487,-68.10107769999999
66,1786081207,3791378881,-16.5278372,-68.1264299,-16.527177,-68.1258606,residential,95.24805539416032,-16.5275071,-68.12614525000001
67,2454688138,2454688207,-16.5384898,-68.1357736,-16.5387943,-68.1348328,residential,106.37316180057415,-16.53864205,-68.1353032
68,1784902761,1784902849,-16.495567,-68.1154291,-16.496704,-68.1163611,residential,170.2561960167899,-16.4961355,-68.1158951
69,5351880000,6168716316,-16.5158915,-68.1045686,-16.5160072,-68.1033545,residential,130.06967635643755,-16.51594935,-68.10396155
70,1344150042,1344150074,-16.4913934,-68.1060384,-16.4910398,-68.1059546,residential,40.32098762624557,-16.4912166,-68.1059965
71,1332266894,1332600763,-16.5367047,-68.0497828,-16.5369011,-68.0497228,residential,22.755987997146935,-16.5368029,-68.0497528
72,1784894803,1784894807,-16.4791323,-68.1186007,-16.4792897,-68.1175649,residential,111.822931459485,-16.479211,-68.1180828
73,1333505626,1333505761,-16.5155739,-68.0914834,-16.5163489,-68.0911895,residential,195.0085405085022,-16.515961400000002,-68.09133645
74,6152380178,6152380183,-16.5078578,-68.0916806,-16.5080555,-68.0909708,residential,78.82217288222611,-16.50795665,-68.0913257
75,1334839325,1334839348,-16.5120752,-68.0817246,-16.5113332,-68.0815313,residential,85.04139399249085,-16.5117042,-68.08162795
76,1210621533,1210621802,-16.4896323,-68.1579298,-16.4897177,-68.1585417,residential,65.92929851852067,-16.489675,-68.15823575
77,2559852081,2559852085,-16.5190965,-68.1469164,-16.5199758,-68.1455254,residential,233.5592442179553,-16.51953615,-68.1462209
