segment_id,street_name,speed_current,speed_free,jam_factor,timestamp,lat,lon,highway
63,,16.26,16.26,0.0,2026-05-25 09:00:00-04:00,-16.497536150000002,-68.0917053,residential
64,,27.9,22.32,0.0,2026-05-25 09:00:00-04:00,-16.53207845,-68.038697,residential
65,,13.71,13.71,0.0,2026-05-25 09:00:00-04:00,-16.5070487,-68.10107769999999,residential
66,,14.48,13.89,0.0,2026-05-25 09:00:00-04:00,-16.5275071,-68.12614525000001,residential
67,,17.66,16.85,0.0,2026-05-25 09:00:00-04:00,-16.53864205,-68.1353032,residential
68,,11.12,10.92,0.0,2026-05-25 09:00:00-04:00,-16.4961355,-68.1158951,residential
69,,13.82,13.45,0.0,2026-05-25 09:00:00-04:00,-16.51594935,-68.10396155,residential
70,,22.8,19.54,0.0,2026-05-25 09:00:00-04:00,-16.4912166,-68.1059965,residential
71,,19.8,19.8,0.0,2026-05-25 09:00:00-04:00,-16.5368029,-68.0497528,residential
72,,20.57,20.33,0.0,2026-05-25 09:00:00-04:00,-16.479211,-68.1180828,residential
73,,12.38,11.91,0.0,2026-05-25 09:00:00-04:00,-16.515961400000002,-68.09133645,residential
74,,15.15,14.54,0.0,2026-05-25 09:00:00-04:00,-16.50795665,-68.0913257,residential
75,,18.0,17.0,0.0,2026-05-25 09:00:00-04:00,-16.5117042,-68.08162795,residential
76,,21.27,19.5,0.0,2026-05-25 09:00:00-04:00,-16.489675,-68.15823575,residential
77,,15.07,14.79,0.0,2026-05-25 09:00:00-04:00,-16.51953615,-68.1462209,residential
78,,16.97,15.84,0.0,2026-05-25 09:00:00-04:00,-16.53935165,-68.0956604,residential
79,,11.65,11.0,0.0,2026-05-25 09:00:00-04:00,-16.529559,-68.04139895,residential
80,,14.02,14.02,0.0,2026-05-25 09:00:00-04:00,-16.5058157,-68.04174055,residential
81,,19.15,18.42,0.0,2026-05-25 09:00:00-04:00,-16.5353674,-68.08041324999999,residential
82,,13.75,13.34,0.0,2026-05-25 09:00:00-04:00,-16.4669336,-68.130594,residential
83,,14.66,14.66,0.0,2026-05-25 09:00:00-04:00,-16.52236235,-68.05557135000001,residential
84,,14.85,14.85,0.0,2026-05-25 09:00:00-04:00,-16.54047525,-68.0340055,residential
85,,19.36,19.36,0.0,2026-05-25 09:00:00-04:00,-16.4621064,-68.13995815,residential
86,,6.58,6.4,0.0,2026-05-25 09:00:00-04:00,-16.48108965,-68.12070935,residential
87,,16.84,16.35,0.0,2026-05-25 09:00:00-04:00,-16.5014752,-68.0724463,residential
88,,13.65,13.65,0.0,2026-05-25 09:00:00-04:00,-16.50618865,-68.03856815,residential
89,,22.5,22.5,0.0,2026-05-25 09:00:00-04:00,-16.54126175,-68.04311145,residential
90,,14.16,13.84,0.0,2026-05-25 09:00:00-04:00,-16.5114625,-68.14732935,residential
91,,15.46,15.46,0.0,2026-05-25 09:00:00-04:00,-16.537181699999998,-68.1221235,residential
92,,21.87,21.09,0.0,2026-05-25 09:00:00-04:00,-16.4638208,-68.15030845000001,residential
93,,18.72,15.6,0.0,2026-05-25 09:00:00-04:00,-16.5246098,-68.12171625,residential
94,,11.93,11.93,0.0,2026-05-25 09:00:00-04:00,-16.539854849999998,-68.1241125,residential
95,,12.74,12.91,0.133,2026-05-25 09:00:00-04:00,-16.517178899999998,-68.12910235,residential
96,,16.11,16.11,0.0,2026-05-25 09:00:00-04:00,-16.4946624,-68.10607325000001,residential
97,,19.8,17.6,0.0,2026-05-25 09:00:00-04:00,-16.492319199999997,-68.12239919999999,residential
98,,16.11,18.8,1.667,2026-05-25 09:00:00-04:00,-16.4810193,-68.12440455000001,residential
99,,20.23,19.31,0.0,2026-05-25 09:00:00-04:00,-16.49731845,-68.0975961,residential
100,,22.4,22.4,0.0,2026-05-25 09:00:00-04:00,-16.516735949999998,-68.09041504999999,residential
101,,16.13,16.13,0.0,2026-05-25 09:00:00-04:00,-16.479696150000002,-68.117063,residential
102,,18.0,16.5,0.0,2026-05-25 09:00:00-04:00,-16.443821,-68.12214515,residential
103,,18.45,18.45,0.0,2026-05-25 09:00:00-04:00,-16.492819150000003,-68.1475684,residential
104,,0.0,0.0,0.0,2026-05-25 09:00:00-04:00,-16.47959235,-68.14563534999999,residential
105,,15.07,14.79,0.0,2026-05-25 09:00:00-04:00,-16.54706505,-68.0765375,residential
106,,32.4,32.4,0.0,2026-05-25 09:00:00-04:00,-16.54045395,-68.0991894,residential
107,,21.3,19.66,0.0,2026-05-25 09:00:00-04:00,-16.53074095,-68.03608845,residential
108,,17.49,17.49,0.0,2026-05-25 09:00:00-04:00,-16.5072346,-68.0956746,residential
109,,27.6,27.6,0.0,2026-05-25 09:00:00-04:00,-16.539287199999997,-68.05001630000001,residential
110,,12.18,12.0,0.0,2026-05-25 09:00:00-04:00,-16.5413686,-68.11567439999999,residential
111,,24.3,19.44,0.0,2026-05-25 09:00:00-04:00,-16.5359318,-68.04729305000001,residential
112,,12.6,12.6,0.0,2026-05-25 09:00:00-04:00,-16.48276085,-68.126627,residential
113,,26.18,24.0,0.0,2026-05-25 09:00:00-04:00,-16.51252155,-68.1346814,residential
114,,18.11,15.39,0.0,2026-05-25 09:00:00-04:00,-16.493839350000002,-68.1216611,residential
115,,15.84,15.33,0.0,2026-05-25 09:00:00-04:00,-16.451114150000002,-68.14564745,residential
116,,13.65,13.65,0.0,2026-05-25 09:00:00-04:00,-16.50777075,-68.14875055,residential
117,,24.24,22.73,0.0,2026-05-25 09:00:00-04:00,-16.54424465,-68.0670369,residential
118,,19.5,18.0,0.0,2026-05-25 09:00:00-04:00,-16.490195,-68.1623637,residential
119,,16.61,15.97,0.0,2026-05-25 09:00:00-04:00,-16.4771674,-68.13513090000001,residential
120,,19.5,19.5,0.0,2026-05-25 09:00:00-04:00,-16.51248755,-68.1068462,residential
121,,20.62,18.39,0.0,2026-05-25 09:00:00-04:00,-16.5113425,-68.10634354999999,residential
122,,17.55,15.6,0.0,2026-05-25 09:00:00-04:00,-16.5319315,-68.1050936,residential
123,,13.98,13.2,0.0,2026-05-25 09:00:00-04:00,-16.5113664,-68.076324,residential
124,,20.0,20.0,0.0,2026-05-25 09:00:00-04:00,-16.50421775,-68.0589051,residential
125,,6.15,6.15,0.0,2026-05-25 09:00:00-04:00,-16.5214608,-68.12328310000001,residential
126,,14.56,14.56,0.0,2026-05-25 09:00:00-04:00,-16.50355085,-68.07566779999999,residential
127,,10.35,16.56,6.0,2026-05-25 09:00:00-04:00,-16.49196215,-68.11543595,residential
128,,16.15,16.15,0.0,2026-05-25 09:00:00-04:00,-16.513670750000003,-68.0768344,residential
129,,18.8,16.92,0.0,2026-05-25 09:00:00-04:00,-16.46670505,-68.1061115,residential
130,,10.4,9.36,0.0,2026-05-25 09:00:00-04:00,-16.5408289,-68.13472325000001,residential
131,,18.85,18.31,0.0,2026-05-25 09:00:00-04:00,-16.5333489,-68.1192523,residential
132,,12.34,12.34,0.0,2026-05-25 09:00:00-04:00,-16.48370985,-68.0927164,residential
133,,9.31,9.64,0.357,2026-05-25 09:00:00-04:00,-16.4902496,-68.1160601,residential
134,,14.18,14.18,0.0,2026-05-25 09:00:00-04:00,-16.5148924,-68.1314949,residential
135,,22.29,22.29,0.0,2026-05-25 09:00:00-04:00,-16.551176599999998,-68.06730235,residential
136,,12.24,10.2,0.0,2026-05-25 09:00:00-04:00,-16.533342849999997,-68.10272735000001,residential
137,,13.02,12.09,0.0,2026-05-25 09:00:00-04:00,-16.472700850000003,-68.12106595,residential
