segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon
1083,5130889740,10092624596,-16.474545,-68.2832084,-16.474032,-68.2830123,residential,60.77966269912041,-16.4742428,-68.2830847
1084,5514751271,5514751273,-16.4668511,-68.28864,-16.4663571,-68.2883795,residential,61.554674316873935,-16.4663571,-68.2883795
1085,2504760611,2504760747,-16.4825413,-68.2543318,-16.4818426,-68.2540414,residential,83.6350766869083,-16.4818426,-68.2540414
1086,5520736416,5520736378,-16.5840257,-68.1999404,-16.58315,-68.199323,residential,120.62684843194276,-16.5837014,-68.1998152
1087,10270276389,5522569547,-16.6116449,-68.1599405,-16.6112624,-68.1603895,residential,64.01505288617248,-16.6112624,-68.1603895
1088,5520736381,5520736380,-16.5821891,-68.2009036,-16.5822381,-68.2008157,residential,10.836877870858372,-16.5822381,-68.2008157
1089,1497042235,412330043,-16.5080803,-68.1561179,-16.5082551,-68.1563526,residential,31.68406496049195,-16.5082551,-68.1563526
1090,12714671584,2869631883,-16.5550966,-68.2428639,-16.5556567,-68.2429408,residential,73.40285297158837,-16.5552401,-68.2427257
1091,2484848128,1786188526,-16.5314506,-68.21333,-16.5312413,-68.2129567,residential,46.099309416587566,-16.5312413,-68.2129567
1092,2504096115,2504096083,-16.4958554,-68.2432969,-16.4958916,-68.2423704,residential,98.86384745256896,-16.4958916,-68.2423704
1093,5327907480,2510155575,-16.4645393,-68.1996989,-16.4641861,-68.1987626,residential,107.28967401696589,-16.4641861,-68.1987626
1094,2504642490,1786242074,-16.4926726,-68.2302068,-16.4926814,-68.2307297,residential,55.760224340939764,-16.4926814,-68.2307297
1095,2466291804,5520899274,-16.5902802,-68.1982042,-16.5903983,-68.198259,residential,14.441434037022834,-16.5903374,-68.198238
1096,2502971660,2502971761,-16.4837844,-68.2480373,-16.4833574,-68.2478173,residential,52.95879732926159,-16.4833574,-68.2478173
1097,8956392699,8956392698,-16.4522607,-68.1794009,-16.4522294,-68.1794374,residential,5.221527939639916,-16.4522294,-68.1794374
1098,2322548310,2322548392,-16.6009839,-68.1869447,-16.6022328,-68.188383,residential,206.8223447805889,-16.6022328,-68.188383
1099,4390010911,4390089177,-16.5135016,-68.1568276,-16.5127466,-68.1572753,residential,96.57132790726875,-16.5127466,-68.1572753
1100,10107517410,2466354827,-16.6020163,-68.2028857,-16.6020899,-68.2028142,residential,11.181526203839196,-16.6020899,-68.2028142
1101,2504642481,1502872622,-16.4857902,-68.231048,-16.4862381,-68.2310419,residential,49.8085247081667,-16.4862381,-68.2310419
1102,1786204606,1786204602,-16.5398592,-68.1994757,-16.5396059,-68.1992415,residential,37.63676181111508,-16.5396059,-68.1992415
1103,2322548107,2322548021,-16.5989987,-68.1986699,-16.5980225,-68.1979823,residential,130.96394965246034,-16.5980225,-68.1979823
1104,2460316718,2460316708,-16.6111806,-68.1731414,-16.6111809,-68.1743886,residential,132.89484868106973,-16.6111809,-68.1743886
1105,2870563344,2870563342,-16.568366,-68.2138831,-16.5686861,-68.2141601,residential,46.24346918248499,-16.5686861,-68.2141601
1106,580504914,580504917,-16.5042318,-68.2018623,-16.5046098,-68.2021889,residential,54.581131462737176,-16.5046098,-68.2021889
1107,10098919108,5130890048,-16.4786053,-68.2838436,-16.4785133,-68.2840055,residential,20.066506789871173,-16.4785133,-68.2840055
1108,2484781295,2484781350,-16.5343264,-68.2304413,-16.5338852,-68.2304505,residential,49.06907199733915,-16.5338852,-68.2304505
1109,2488309065,13801675777,-16.5186622,-68.2466542,-16.5179607,-68.2466666,residential,78.0145515868117,-16.5179607,-68.2466666
1110,1427815300,2508887447,-16.4760802,-68.2107641,-16.4763366,-68.2102561,residential,61.21252762024274,-16.4763366,-68.2102561
1111,10313395858,8983225052,-16.4968574,-68.2874613,-16.4964188,-68.2880129,residential,76.4015415888496,-16.4964188,-68.2880129
1112,2426921978,5519082947,-16.5266329,-68.2037986,-16.5265974,-68.2038383,residential,5.787280692828556,-16.5265974,-68.2038383
1113,1786204525,1786204510,-16.5375983,-68.1965666,-16.5371915,-68.1970095,residential,65.3836195605676,-16.5371915,-68.1970095
1114,1433261115,1433261095,-16.4809797,-68.2108211,-16.4814642,-68.2110603,residential,59.60634569878369,-16.4814642,-68.2110603
1115,2510150290,2510150321,-16.4690759,-68.2154754,-16.4685752,-68.2150793,residential,69.88380985971,-16.4685752,-68.2150793
1116,8951523768,8951523784,-16.4546598,-68.2144922,-16.4557466,-68.2153063,residential,188.4781570725246,-16.4556437,-68.2146277
1117,2504096080,9964968188,-16.4949048,-68.2451627,-16.4948905,-68.2456292,residential,49.76310546793368,-16.4948905,-68.2456292
1118,8979176060,2467487992,-16.6346376,-68.1726536,-16.6374795,-68.1740929,residential,353.7671247571808,-16.6362267,-68.1734393
1119,2467533962,2467534149,-16.6448853,-68.1733895,-16.6453642,-68.1736347,residential,59.31350245856286,-16.6453642,-68.1736347
1120,2510239890,2510239757,-16.4670485,-68.1698675,-16.4670026,-68.1700702,residential,22.209161028944028,-16.4670026,-68.1700702
1121,2510239622,2510239895,-16.4801886,-68.1741229,-16.4798351,-68.1749108,residential,92.75236367466586,-16.4798351,-68.1749108
1122,2871767750,2486715018,-16.5136307,-68.2272561,-16.5138453,-68.2275147,residential,36.46181825672108,-16.5138453,-68.2275147
